Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Children,TotalSpend,KMeans_Cluster,DBSCAN_Cluster,PCA1,PCA2
Graduation,Married,51381.5,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,42,1,19,0,0,-0.8283895254150533,-1.3596342398948706
Basic,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,49,0,61,0,0,-1.0935299902565934,-1.228315248348539
Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,66,0,1102,3,0,1.4931730962849072,0.5619554660136694
Master,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,73,2,310,1,0,-0.6457855124023629,1.8551199728392176
Graduation,Married,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,38,0,46,0,0,-0.9954396464915178,-2.150375637650001
PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,79,0,1315,3,0,2.3064976501491925,1.0213160442909184
Graduation,Married,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,45,2,96,0,0,-1.5701187483848695,-0.25611605785562125
Graduation,Together,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,79,0,317,2,0,0.1880961753686252,0.6990118734360137
Master,Married,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,76,1,1782,3,0,2.010813546104721,2.0038263161085053
2n Cycle,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,40,1,133,0,0,-1.126667422229992,-0.8686717957204311
Graduation,Married,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,43,0,316,0,0,-0.19463316418585314,-1.6392801439067894
Graduation,Married,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,46,1,1730,0,-1,-0.10326125172675174,-1.0874589957116463
PhD,Married,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,76,1,972,1,0,0.7125553396356952,1.6059048698867822
PhD,Married,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,71,1,544,2,0,0.3524105849428172,0.669548426805334
Graduation,Together,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,74,1,444,1,0,-0.2891702649078619,1.4080815047436783
Graduation,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,56,0,75,0,0,-0.7428922751281664,-0.36321385044904025
Graduation,Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,49,2,257,2,0,-1.095606478931785,-0.36664610404721076
Graduation,Single,51381.5,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,39,1,637,0,0,-0.19887877073354893,-1.4921504696793677
Graduation,Married,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,36,1,131,0,0,-1.0726498366427717,-1.7188201471135816
PhD,Married,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,60,0,1672,3,0,2.546801823680318,0.4176442075664186
Master,Divorced,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,36,0,30,0,0,-1.1820072816451728,-2.372690206019653
Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,62,0,318,0,0,0.04107979222541109,-0.13776059816142236
Graduation,Together,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,55,1,120,2,0,-0.8381327460538563,-0.3128762466147419
PhD,Divorced,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,73,2,302,2,0,-0.9595155592452832,1.3243541603765605
Master,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,79,0,1196,3,0,1.8457388405703947,0.7402893859226624
Master,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,74,2,65,1,0,-1.1296340443948178,1.8809630892540783
PhD,Married,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,55,1,913,3,0,0.6355034483176951,-0.07919424577978608
2n Cycle,Married,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,49,1,81,0,0,-1.3278236399704773,-0.3981596533965871
Graduation,Widow,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,52,1,67,1,0,-0.8706962844950844,0.16432445360712192
PhD,Divorced,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,82,0,902,3,0,1.1094426331962275,1.3118644526561556
Graduation,Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,45,1,1395,3,0,1.3380438003315775,-1.0417941048614952
Master,Married,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,40,1,53,0,0,-1.5217421194068341,-0.934905468694575
Graduation,Together,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,68,1,22,2,0,-1.248032607308405,0.21595258510516796
PhD,Single,51381.5,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,66,0,186,1,0,0.24356796474318437,0.4666698935564184
Master,Married,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,50,1,31,0,0,-1.759266530174501,-1.0003092641601317
Graduation,Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,49,0,984,3,0,1.587579662519614,-0.6282780836537089
2n Cycle,Married,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,29,0,122,0,0,-1.2384473615261724,-2.9892850819385908
Graduation,Together,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,57,1,55,1,0,-0.8498610133963388,0.4432407980455195
Graduation,Single,51381.5,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,74,3,124,1,0,-1.6514408677157042,2.857487699575645
PhD,Married,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,71,2,1319,2,0,0.7161711657576124,1.6598969889240107
Graduation,Widow,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,68,1,507,2,0,0.2906008481126047,0.7473809236188051
Master,Married,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,61,0,1693,3,0,2.4366481339588586,-0.48295899960872296
Graduation,Single,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,48,1,72,0,0,-1.068622567479732,-0.6092655205289015
Graduation,Divorced,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,48,0,1617,3,0,2.311269442752787,-0.8611602901185753
Graduation,Married,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,47,2,606,1,0,-0.4311722512730105,0.10410326779685962
Master,Together,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,70,0,1957,3,0,2.8942608906380998,0.7011952955765722
Graduation,Divorced,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,59,0,1093,3,0,1.5736145859596007,-0.4028535220996587
Graduation,Single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,37,1,29,0,0,-1.4142504593680918,-1.6661478429592547
Graduation,Single,51381.5,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,43,1,46,0,0,-0.7821981960230368,-0.8311584919967026
PhD,Married,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,57,1,518,1,0,-0.027863415456071336,0.2468985222192755
Master,Single,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,43,0,1438,3,0,1.9035141424965687,-1.6765212885725351
Graduation,Together,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,50,2,612,2,0,-0.3936347073999935,-0.07037673772070174
Graduation,Single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,73,1,884,2,0,0.6575245174164219,1.0466892707623243
PhD,Widow,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,74,1,606,2,0,0.5055649403111419,0.9763554290321081
Graduation,Together,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,77,0,1076,3,0,1.7482470051905379,0.8609810192133143
Graduation,Married,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,54,1,34,0,0,-1.2801036102949632,-0.04192606644393553
Graduation,Together,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,58,2,11,2,0,-1.7551599579949515,0.09350212612622119
2n Cycle,Single,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,46,1,1274,3,0,1.413212186754716,-0.758652234226981
Graduation,Together,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,67,1,653,2,0,0.5166112054917003,0.45132832732005945
Graduation,Together,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,55,3,1562,1,0,0.2358041994664602,1.607845579348984
Master,Married,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,71,0,1253,3,0,1.785267533016231,0.13454301924952902
2n Cycle,Married,51381.5,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,52,1,109,2,0,-0.6279949606814317,-0.5140366096078558
Graduation,Married,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,66,1,863,2,0,0.6390870837066611,0.6030165881618021
PhD,Married,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,50,2,661,1,0,-0.4713658093524611,0.5871873713881519
Graduation,Married,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,73,0,65,1,0,-0.3566077964582515,0.5922726112615447
Graduation,Divorced,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,48,1,13,0,0,-1.0250867651637456,-0.4409188515832504
Master,Married,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,53,0,1890,3,0,2.4788291656000894,-0.7548672262897321
Graduation,Single,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,49,0,2209,3,0,2.792427154671757,-0.9740620973835031
2n Cycle,Together,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,49,0,18,0,0,-0.7062304264400968,-1.5736982904186516
Graduation,Together,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,60,0,692,2,0,0.8197956187814169,-0.6336780062184567
Graduation,Single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,40,1,165,0,0,-1.1871984746996638,-0.8850786885788486
Graduation,Married,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,56,1,16,2,0,-1.2761285691939932,-0.593611276131015
2n Cycle,Married,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,52,1,79,0,0,-1.3012853698638085,-0.07781872385442927
Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,62,0,318,0,0,0.04107979222541109,-0.13776059816142236
Graduation,Divorced,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,38,0,778,3,0,1.2802590843061263,-1.9333605539954393
Graduation,Married,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,65,2,56,1,0,-1.6917693166376886,1.513733452878476
Master,Married,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,55,2,151,1,0,-1.543342064806835,0.3831469841514009
Graduation,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,68,1,372,2,0,-0.21065476452641355,0.3904772266285711
Graduation,Married,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,52,0,1366,3,0,2.0171037483056966,-0.43872091791829027
Graduation,Together,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,58,1,194,1,0,-0.4021579713459009,0.4653694306985498
PhD,Married,51381.5,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,68,3,603,2,0,-1.2164164248753828,1.5177991847156622
Graduation,Single,51381.5,1,1,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,68,2,18,1,0,-1.196037180929564,1.3706317579105198
Master,Together,51381.5,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,52,0,985,3,0,0.9534391814488178,-0.4527909156713929
Master,Single,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,53,1,32,0,0,-0.9032901054871898,-0.06386307797531537
PhD,Married,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,55,1,43,0,0,-1.3078960563575173,0.10465770255499214
Graduation,Married,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,42,1,45,0,0,-1.2957306339531764,-1.3089326792880798
Graduation,Widow,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,65,1,606,1,0,-0.03890057798530051,0.8492075461529596
Graduation,Divorced,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,53,2,63,2,0,-1.2925810620743607,0.23436070993715707
2n Cycle,Married,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,74,0,978,3,0,1.7986476480456193,0.8493562878617574
PhD,Married,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,42,0,410,0,0,0.20070592731024622,-1.7142849132043385
2n Cycle,Single,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,65,1,72,2,0,-0.6216843266411745,0.1321776998306332
PhD,Single,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,66,1,55,2,0,-0.9333375988602414,0.5445335220083773
Graduation,Together,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,46,1,1169,3,0,1.2489813955474203,-0.3767328466894856
PhD,Married,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,80,0,1120,3,0,1.7191456701010155,1.4296922870646889
Graduation,Married,87195.0,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,66,0,1097,3,0,2.0458390533967825,0.25125242189826025
Basic,Together,24594.0,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,46,1,29,0,0,-1.390637629340273,-0.4251661741876271
Graduation,Married,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,61,2,187,2,0,-1.1455726220320386,0.5626963466828281
Graduation,Married,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,56,2,910,1,0,-0.3417971743463655,0.6389103730781641
Graduation,Single,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,47,1,145,0,0,-0.9420444390275766,-1.0302103486598437
Master,Married,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,65,0,850,3,0,1.8131895850434043,0.023631838106830037
Graduation,Together,77298.0,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,46,1,969,3,0,0.8372823538510634,-0.5606303280035556
PhD,Single,68126.0,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,34,0,1820,3,0,2.044149415487571,-2.0833909546036176
Master,Together,57288.0,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,62,1,608,2,0,0.1448171510863511,0.25035455201956724
Graduation,Single,86037.0,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,34,0,730,3,0,1.3096024196951164,-1.4190359599386961
PhD,Married,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,45,1,551,0,0,-0.4025437543403548,-1.1165076170029287
Graduation,Single,50785.0,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,63,2,114,2,0,-1.1615675995996442,0.8344077241531992
Graduation,Married,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,55,0,1724,3,0,2.6838677699888005,-0.6022461637627601
2n Cycle,Married,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,47,1,577,0,0,-0.5194927357675637,-0.4760942568633377
2n Cycle,Together,30753.0,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,58,2,81,1,0,-1.707526558166369,0.9283251464293908
Graduation,Together,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,56,1,33,0,0,-1.3556306657670707,-0.3036269703601048
Master,Together,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,72,1,660,1,0,0.2813218615484069,1.327314549395391
Master,Single,32557.0,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,58,1,80,2,0,-1.0398863716818927,-0.33209465695756063
Master,Married,19510.0,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,40,2,30,0,0,-2.2124431615856697,-0.6350503063390366
Graduation,Divorced,30992.0,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,49,1,43,0,0,-1.197054833060403,-0.2811725768009406
Graduation,Single,101970.0,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,42,0,1135,3,0,2.1919643831377464,-1.00936486116363
2n Cycle,Together,71488.0,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,60,0,559,3,0,1.0514616735285103,0.243153150982974
Graduation,Single,79607.0,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,41,0,1923,3,0,2.4937049730247383,-1.5442413631756566
Master,Married,54348.0,1,1,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,72,2,90,1,0,-1.0080234816321998,1.732126010036162
PhD,Married,51381.5,0,1,2013-07-11,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,64,1,404,2,0,-0.19106804687240686,0.3134778791047139
PhD,Together,77376.0,1,1,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,69,2,661,1,0,0.11220091349526559,1.8787572195803137
Graduation,Married,62998.0,0,1,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,73,1,463,2,0,0.2336324965312449,0.8952498467266266
Master,Alone,61331.0,1,1,2013-03-10,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,67,2,632,2,0,-0.3192644540495167,1.3345805645350812
Graduation,Married,73448.0,0,0,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,56,0,725,3,0,1.2214021794173422,-0.7931014948270447
Graduation,Married,51381.5,0,1,2013-08-11,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,62,1,725,1,0,0.14213680349613897,0.898687874009765
PhD,Married,41551.0,1,1,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,61,2,279,1,0,-1.2183952838646033,0.871922637328312
PhD,Together,62981.0,0,0,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,58,0,1482,3,0,1.8058107072342697,-0.6107305962458415
Basic,Divorced,9548.0,1,0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,49,1,29,0,0,-1.7218331700061886,-0.93817928506386
PhD,Married,33762.0,2,1,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,66,3,106,1,0,-2.1701461829376627,1.829529322090069
PhD,Alone,35860.0,1,1,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,52,2,49,2,0,-1.6909941128601167,0.060007946639116835
PhD,Divorced,36921.0,1,1,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,60,2,38,1,0,-1.5903257544993206,1.0002183015844341
Master,Single,92859.0,0,0,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,33,0,2077,3,0,2.8875759592584433,-1.9335867692275968
Master,Together,65104.0,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,49,1,1053,2,0,0.6656577276091318,-0.8461118617257632
Graduation,Married,86111.0,0,0,2013-04-19,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,63,0,1385,3,0,2.3028086801976513,0.41042862115534695
PhD,Single,68352.0,0,1,2013-08-28,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,51,1,871,3,0,0.5747565900522826,-0.2556613922458627
Graduation,Together,41883.0,1,0,2013-03-19,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,37,1,312,0,0,-0.7890344566340812,-1.7547543368433596
Graduation,Married,59809.0,0,2,2012-10-18,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,49,2,877,2,0,-0.27862962775097316,-0.006455166121551798
Graduation,Married,23957.0,1,0,2012-10-28,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,50,1,68,0,0,-1.3303931931176085,-0.6146213081340288
Graduation,Together,38547.0,1,0,2013-08-28,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,44,1,22,0,0,-1.0991071406155872,-0.9236000522312187
